id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19091,Fully Furnished Cozy Apartment,72880,John,,Leonidas,29.961,-90.1195,Entire home/apt,62,1,504,07-03-2025,2.73,1,288,1,"25-NSTR-11772, 25-OSTR-11151"
71624,Ravenwood Manor (Historic Bywater),367223,Susan,,Bywater,29.96153,-90.04364,Entire home/apt,150,30,316,07-05-2025,1.81,1,356,8,"21-RSTR-18609, 22-OSTR-20720"
79536,FeelAtHomeInNewOrleans-PrivateApt,428362,Miriam,,Seventh Ward,29.97803,-90.0745,Entire home/apt,,3,781,11-05-2025,4.54,1,8,50,"23-NSTR-15067, 24-OSTR-20882"
79609,Bywater's Original & Finest,428909,Stephen,,St. Claude,29.96448,-90.03667,Entire home/apt,121,30,506,05-03-2025,2.91,1,356,5,"23-ISTR-02823, 23-OSTR-02823"
80869,"Frenchmen House ""Red Room""",437783,Joanne,,Marigny,29.96811,-90.05905,Private room,80,1,989,02-06-2025,5.71,2,210,51,24-XSTR-08500
84725,Historic UPTOWN NEW ORLEANS Resort,85132,Sanford Sandy,,Central City,29.93608,-90.07997,Private room,317,30,5,01-01-2016,0.03,8,365,0,Exempt
90806,Mid-city.  The heart of New Orleans,485705,Thomas J,,Mid-City,29.97264,-90.09992,Entire home/apt,68,30,144,12-03-2025,0.86,1,365,1,
183207,"Frenchmen House ""Rose Room""",437783,Joanne,,Marigny,29.96811,-90.05905,Private room,80,1,920,17-05-2025,5.51,2,208,45,24-XSTR-08500
184478,Northside Bayou Quarters,884946,DJoseph,,Fillmore,30.01387,-90.08049,Private room,,30,2,26-02-2020,0.03,1,0,0,"19str-24335, 19-OSTR-1234"
204998,Hilaire Suite - 2 Bed 2.5 Bath near French Quarter,1006034,Gwendolyn,,Treme - Lafitte,29.9678,-90.06675,Entire home/apt,96,30,207,05-09-2022,1.24,5,180,0,"19STR-26370, 19-OSTR-2637"
205008,Muse Suite- Near French Quarter,1006034,Gwendolyn,,Treme - Lafitte,29.96719,-90.07033,Entire home/apt,146,30,290,01-11-2022,1.74,5,180,0,"19STR-26373, 19-OSTR-2637"
240258,Maison Marais 2,391462,Georgia,,St. Roch,29.96929,-90.05172,Entire home/apt,88,3,617,02-06-2025,3.71,2,208,29,23-XSTR-13082
259868,AUTHENTIC NEW ORLEANS HOME!!!!!!!,1363780,Deborah,,Treme - Lafitte,29.97307,-90.07671,Entire home/apt,173,3,148,05-05-2025,0.91,3,357,5,"21-CSTR-19543, 22-OSTR-08383"
314233,Historic pied-à-terre on Esplanade,1182408,Lauren,,Marigny,29.96611,-90.06146,Entire home/apt,131,30,80,18-03-2020,0.49,1,364,0,
317793,"Algiers Point, New Orleans LA - Funky NOLA Digs",1631225,Seran,,Whitney,29.94995,-90.04538,Entire home/apt,80,30,13,13-03-2023,0.08,1,364,0,
373034,Little Gem,1695097,Diniz,,Marigny,29.96739,-90.05899,Entire home/apt,,30,428,30-10-2024,2.65,1,0,1,"22-RSTR-13055, 22-OSTR-13054"
405209,Historic Tremé Creole Cottage w/pool,2019341,Historic Getaways,,Treme - Lafitte,29.96582985,-90.06376648,Entire home/apt,84,1,192,22-05-2025,1.53,34,294,16,23-XSTR-11592
406652,Near bustling Magazine St w/BIKES!,2026099,Conor,,St. Thomas Dev,29.92302,-90.07285,Entire home/apt,152,30,182,26-10-2024,1.14,1,269,2,"23STR-08837, 23-OSTR-08837"
425878,Bayou St. John Cottage!,1919429,Kristin,,Bayou St. John,29.97584152,-90.08703613,Entire home/apt,125,30,53,05-05-2025,0.38,1,365,6,"24-NSTR-10576, 24-OSTR-10576"
427928,New Orleans Festival House! Jazz Fest 3 Blocks!,2103275,NOLA Festivals,,Fairgrounds,29.98149,-90.07425,Entire home/apt,363,2,147,22-03-2025,0.97,1,270,1,Exempt
441125,Uptown home w/room to spread out!,2191889,Chris,,Audubon,29.93357,-90.11427,Entire home/apt,536,30,34,16-03-2020,0.22,2,270,0,19STR-83914
458029,Oak Street Hangout...,2277128,Paul,,Leonidas,29.94844,-90.13186,Entire home/apt,100,30,94,09-05-2025,0.6,1,353,4,
474197,Historic Home Close to Everything,115001499,Anisha,,Treme - Lafitte,29.96587,-90.07053,Entire home/apt,314,2,85,01-03-2025,0.53,1,339,8,"21-CSTR-08647, 21-OSTR-13290"
542247,10min drive to French Quarter 5min to Dome,2156820,Jay,,Broadmoor,29.94668985,-90.10075887,Entire home/apt,160,3,159,18-05-2025,1.02,1,218,17,"23-NSTR-18619, 22-OSTR-12012"
561833,Half of The Okra Inn Iberville (4019),2707644,Lindsay,,Mid-City,29.97499275,-90.09910583,Entire home/apt,159,1,125,06-06-2025,0.82,12,62,29,"21-CSTR-08128, 20-OSTR-02677"
596455,"Beautiful, Bywater Home",518748,Rachel,,Bywater,29.96491,-90.04403,Entire home/apt,115,30,48,02-09-2024,0.31,1,83,1,
648129,Beautiful Efficiency Apartment,2383859,Brian,,City Park,29.98282,-90.09417,Entire home/apt,,30,117,24-02-2020,0.76,1,55,0,18STR-16510
684584,Ride the Streetcar to the French Quarter!,2176992,Erin,,Mid-City,29.96658,-90.09607,Private room,115,1,1211,11-06-2025,7.79,1,250,132,"23-NSTR-17387, 22-OSTR-15014"
701364,Sky Loft Bywater-Marigny - King Bed and Balcony,2671376,Ruby Dee,,St. Roch,29.97036,-90.05007,Entire home/apt,89,3,302,18-05-2025,1.97,2,110,21,"23-NSTR-17825, 25-OSTR-07158"
708852,studio unit 3 New Orleans,103427,Jacqueline M,,Lower Garden District,29.93396,-90.08066,Entire home/apt,244,30,0,,,2,90,0,Exempt
718256,Rumahku De New Orleans,1340014,Susanna,,Fillmore,30.00784,-90.08124,Entire home/apt,114,2,402,08-06-2025,2.69,1,170,19,"24-NSTR-10932, 23-OSTR-12561"
719226,Cozy Apartment in Beautiful and Safe neighborhood!,3710725,Michel,,Fairgrounds,29.98078,-90.08057,Entire home/apt,50,30,34,27-10-2016,0.22,1,126,0,
742617,Cabaret Life: Spacious w/wraparound balcony,3888377,Zalia,,Marigny,29.96768,-90.05683,Entire home/apt,245,3,326,25-05-2025,2.17,1,304,29,"22-CSTR-00256, 25-OSTR-07178"
755827,Stay by the river in the safe & historic Bywater,3978674,Carmen,,Bywater,29.96056,-90.03423,Entire home/apt,113,3,641,11-06-2025,4.17,1,107,37,"23-NSTR-15629, 23-OSTR-14447"
780112,Large Apt Bayou St John/City Park 3 miles to Dome,3233663,Julie,,Bayou St. John,29.97728,-90.08278,Entire home/apt,238,30,97,22-04-2022,0.65,1,269,0,
786938,Historic home near FQ/outdoor oasis,978875,Gianna,,Seventh Ward,29.97478,-90.07634,Entire home/apt,464,3,179,19-05-2025,1.19,1,315,12,"25-NSTR-01981, 25-OSTR-01876"
790082,GUEST WING BY THE RIVER ~2 Q Bedrooms,4163388,N L,,Holy Cross,29.95852,-90.02569,Entire home/apt,83,30,99,20-12-2021,0.66,2,18,0,17STR-19404
812536,"Downtown Views, Garden District, Streetcar",4271460,Christian,,Central City,29.93616,-90.08231,Entire home/apt,138,3,66,06-04-2025,0.44,5,85,3,23-XSTR-11145
812675,Luxe Garden District Balcony Views,4271460,Christian,,Central City,29.93500637,-90.08173553,Entire home/apt,130,3,82,06-04-2025,0.54,5,82,4,23-XSTR-11145
829933,"King rm @ Huckabuck Village, Treme",3849334,Liberty,,Treme - Lafitte,29.96949,-90.07396,Private room,60,30,154,29-01-2025,1.02,1,177,1,"19RSTR-26556, 21-OSTR-08891"
845309,Fab Frenchmen Maison on the Park,4413148,Deborah,,Marigny,29.96609,-90.05718,Entire home/apt,475,30,169,03-05-2021,1.12,1,365,0,"19STR-08005, 20-OSTR-0809"
851999,Fab Apt with Perfect Park Porch,4448274,Carolee,,Leonidas,29.95565,-90.12383,Entire home/apt,132,31,114,06-06-2025,0.76,2,261,3,
854997,Historic Marigny Triangle Apartment,176809,Amy,,Marigny,29.96731,-90.05927,Entire home/apt,199,30,142,07-05-2025,0.94,1,179,5,
872905,"City Park, Mid City, Safe area near Streetcar Stop",4606010,Monica,,City Park,29.98148,-90.09697,Entire home/apt,65,30,57,07-09-2024,0.38,1,77,1,
873413,"Superdome walk, Mansion in the Garden District",4271460,Christian,,Central City,29.93500637,-90.08173553,Entire home/apt,695,3,78,03-01-2025,0.52,5,85,1,23-XSTR-11145
882473,Historic Apt in Magical Marigny,4669579,Mary,,Marigny,29.96712,-90.05075,Entire home/apt,106,30,210,09-03-2025,1.39,1,364,1,"19STR-00000, 19-OSTR-0000"
885010,private getaway near french quarter,4688828,Cleotis,,St. Claude,29.97043,-90.0476,Entire home/apt,,30,114,02-07-2017,0.76,1,0,0,
885246,HUGE Historic Warehouse District Condo,4690952,Ashley,,Central Business District,29.94499,-90.07222,Entire home/apt,400,30,9,31-12-2022,0.07,1,218,0,19STR-12961
890508,Magazine St. Charm - Safe Area,4728090,Roberto,,Uptown,29.9205,-90.10807,Entire home/apt,204,30,28,27-05-2019,0.2,1,329,0,"18STR-16423, 20-OSTR-02857"
891764,Retro Cottage near Bayou/ Jazz Fest,897324,Renee,,Fairgrounds,29.98209,-90.08431,Entire home/apt,,30,79,31-07-2024,0.53,1,15,1,
895626,"Walk to Tulane, The Purple Room of the Treehouse",4772370,Laurie,,Audubon,29.93823,-90.11176,Private room,72,1,347,08-06-2025,2.31,2,99,40,"23-NSTR-14182, 24-OSTR-21273"
896343,#1 Beautiful 2-BR Suite Uptown/Audubon Riverside,4778949,Rob,,West Riverside,29.92048,-90.12346,Entire home/apt,166,3,43,08-04-2024,0.3,3,163,0,"24-NSTR-10773, 24-OSTR-10760"
896501,#2 Perfect 2BR Audubon Suite,4778949,Rob,,Audubon,29.92345,-90.12261,Entire home/apt,149,3,34,05-03-2025,0.24,3,155,2,"24-NSTR-10773, 24-OSTR-10760"
896709,Modern Home Near French Quarter,4782391,Marc,,Treme - Lafitte,29.97258,-90.07539,Entire home/apt,278,30,50,23-02-2020,0.33,1,364,0,
898632,TulaneUniv/Pool-3 ppl + if family- No parties,4370699,Deborah,,Audubon,29.94574,-90.11839,Entire home/apt,268,1,104,02-05-2025,0.69,1,256,14,"23-NSTR-15126, 24-OSTR-04228"
900084,Rent whole Townhouse in Uptown,4805726,Adam,,Uptown,29.93276,-90.10265,Entire home/apt,,30,0,,,1,0,0,
900337,2 Bedroom Suite in Uptown New Orleans,4807949,Judith,,Uptown,29.92074,-90.1069,Entire home/apt,238,30,27,16-03-2025,0.18,1,257,4,"23-NSTR-15847, 23-OSTR-03329"
900608,French Quarter Beauty,4810197,Jazz,,French Quarter,29.95978,-90.06505,Entire home/apt,,30,15,02-01-2018,0.12,1,0,0,
901827,Traditional Lower Garden District 2 bdrm apt,11372242,Thiamanti,,Central City,29.93668,-90.07614,Entire home/apt,80,2,376,19-05-2025,2.5,44,60,8,"23cstr-11525, 24-OSTR-03681"
901876,Walk to Tulane -Bright Sunny Room of the Treehouse,4772370,Laurie,,Audubon,29.93823,-90.11151,Private room,86,30,300,02-03-2024,2,2,43,0,"20STR-21678, 20-OSTR-21677"
904990,"Gem Condo, Soul of Arts District",4841202,Matilde,,Lower Garden District,29.94449,-90.06751,Entire home/apt,156,90,7,04-09-2022,0.06,4,319,0,
905897,"King Bed, Walk to FQ, 25% off 4+ Nights, No Chores",4847397,Scott,,Treme - Lafitte,29.9663148,-90.0695387,Entire home/apt,109,2,422,08-06-2025,2.82,1,350,36,"23-NSTR-15010, 24-OSTR-03224"
906101,Loft Bywtr-Marigny GR8T Location,2671376,Ruby Dee,,St. Claude,29.96979,-90.04808,Entire home/apt,89,30,291,20-04-2025,1.93,2,179,10,"20STR-01981, 20-OSTR-01981"
